p_año;p_ciudad;provincia;canton;parroquia;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos;pobreza_multidimensional;pobreza_extrema_multidimensional;necesidades_basicas_insatisfechas
2018;70150;EL ORO;MACHALA;MACHALA;64,752975;47,115;6,053725;93,946275;56,872225;33,209925;52,44335;12,71915;5,229375;23,55435;35,2704;24,871425;19,922575;11,15305;1,119275;8,688875;75,712675;10,8281;2,53775;19,799975;4,39285;19,873275
2018;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;64,9305;47,964;3,64515;96,35485;53,8316;40,133025;50,9104;20,35875;4,015275;19,623225;28,631325;23,565975;20,466425;8,636;0,756225;15,322075;74,8418;11,093675;2,201675;23,1646;4,997775;23,354775
2018;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;63,446825;48,24395;8,5152;91,4848;71,33895;22,544975;58,9944;10,08935;3,0695;18,8944;22,815775;18,686575;16,50255;15,303225;0,09055;13,423975;80,52905;10,3997;3,04415;6,1802;0,5363;6,552575
2018;180150;TUNGURAHUA;AMBATO;AMBATO;66,7666;50,1128;4,876825;95,123175;74,333575;21,787075;52,241675;14,277425;7,479275;20,603725;26,4151;20,14075;14,9686;10,0656;1,023575;20,602975;83,217575;8,9117;2,190025;7,752825;0,6905;7,23575
2019;10150;AZUAY;CUENCA;CUENCA;62,57725;47,57335;4,9336;95,0664;73,207625;20,972575;65,76335;7,363525;4,988;16,93765;24,011125;20,108325;13,52715;11,534075;0,55155;16,5685;82,962375;4,602975;0,794025;5,892425;0,361875;4,79405
2019;70150;EL ORO;MACHALA;MACHALA;60,8331;46,10605;5,203225;94,796775;59,80775;32,49715;56,495625;10,558325;4,58475;23,13505;29,9113;16,914125;22,402425;11,079425;0,593175;8,443325;74,970625;9,999225;2,950925;12,8867;2,03955;16,84645
2019;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;63,3403;48,029;3,02995;96,97005;52,577275;40,175325;51,953975;18,6467;3,924475;20,97025;26,1744;20,4226;19,85835;7,8138;0,399925;14,0896;75,002875;9,538625;1,254975;16,9466;2,649225;19,28945
2019;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;61,820325;48,573775;8,5299;91,4701;71,846525;20,561825;56,040425;12,390475;2,988325;18,57245;19,3971;16,38815;13,7276;16,339175;0,0524;12,606225;82,780575;10,049725;2,926875;4,538625;0,1514;6,0816
2019;180150;TUNGURAHUA;AMBATO;AMBATO;66,843625;51,213075;4,76605;95,23395;75,3967;20,34325;48,61825;15,27495;8,05585;22,694;19,4091;8,643925;11,206825;9,650975;1,62195;19,924975;84,374575;8,728875;2,2682;8,095975;0,652475;5,341175
2020;10150;AZUAY;CUENCA;CUENCA;60,32425;45,4505;7,543625;92,456375;73,1036;21,6184;51,279975;16,914375;4,8095;18,887725;21,9971;15,4104;13,368475;13,4792;0,600825;17,751825;84,40745;12,849;3,8675;8,4696;0,25485;4,3157
2020;70150;EL ORO;MACHALA;MACHALA;60,120075;43,82385;10,20565;89,79435;51,664325;37,9924;36,884375;24,16095;3,280625;24,80835;19,05305;10,88165;22,533325;16,475925;0,77505;7,216525;74,669775;26,83955;9,78395;19,62185;3,08935;11,5819
2020;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;62,10905;43,923125;4,499475;95,500525;46,570125;46,22805;41,819375;24,057025;4,4068;23,931425;27,341925;18,86475;20,940725;9,77385;0,180725;13,874875;73,96975;22,37935;4,787025;17,50765;2,562;14,32165
